threshold,mask_length,sensitivity_mean,sensitivity_std,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_std,specificity_ci_lower,specificity_ci_upper,mean_lead_time_mean,mean_lead_time_std,mean_lead_time_ci_lower,mean_lead_time_ci_upper,median_lead_time_mean,median_lead_time_std,median_lead_time_ci_lower,median_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_std,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper,median_net_lead_time_mean,median_net_lead_time_std,median_net_lead_time_ci_lower,median_net_lead_time_ci_upper,false_alarm_rate_mean,false_alarm_rate_std,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,n_early_mean,n_early_std,n_early_ci_lower,n_early_ci_upper,n_at_conv_mean,n_at_conv_std,n_at_conv_ci_lower,n_at_conv_ci_upper,n_late_mean,n_late_std,n_late_ci_lower,n_late_ci_upper,n_missed_mean,n_missed_std,n_missed_ci_lower,n_missed_ci_upper,n_false_alarm_mean,n_false_alarm_std,n_false_alarm_ci_lower,n_false_alarm_ci_upper
0.25,2,0.911392405063291,0.011934291665595764,0.9028551271024389,0.9199296830241431,0.7347826086956522,0.0559427799003443,0.6947635547547439,0.7748016626365604,17.82820534670008,0.31980081295384,17.59943362661852,18.05697706678164,14.786000000000001,0.34397028295414683,14.53993848264007,15.032061517359933,3.2906838466874304,0.3447889950743827,3.0440366579582854,3.5373310354165755,0.0,0.0,0.0,0.0,0.26521739130434774,0.0559427799003443,0.22519833736343955,0.30523644524525595,19.8,0.7888106377466155,19.235718862784836,20.364281137215166,45.3,1.3374935098492586,44.343214781038384,46.25678521896161,6.9,1.1005049346146119,6.1127461949686435,7.687253805031357,7.0,0.9428090415820634,6.325555041092688,7.674444958907312,6.1,1.286683937707919,5.179561759359111,7.020438240640888
0.25,3,0.911392405063291,0.011934291665595764,0.9028551271024389,0.9199296830241431,0.8142857142857144,0.04994327848429296,0.7785584451151593,0.8500129834562695,17.82820534670008,0.31980081295384,17.59943362661852,18.05697706678164,14.786000000000001,0.34397028295414683,14.53993848264007,15.032061517359933,3.2906838466874304,0.3447889950743827,3.0440366579582854,3.5373310354165755,0.0,0.0,0.0,0.0,0.1857142857142857,0.049943278484292926,0.14998701654373064,0.22144155488484074,19.8,0.7888106377466155,19.235718862784836,20.364281137215166,45.3,1.3374935098492586,44.343214781038384,46.25678521896161,6.9,1.1005049346146119,6.1127461949686435,7.687253805031357,7.0,0.9428090415820634,6.325555041092688,7.674444958907312,2.6,0.6992058987801011,2.0998182316122294,3.100181768387771
0.3,0,0.8848101265822785,0.015154670882757773,0.8739691281085852,0.8956511250559719,0.7102564102564102,0.019301862889976443,0.6964486893399666,0.7240641311728537,17.935282236842106,0.39812798071458694,17.65047863637777,18.220085837306442,15.047000000000002,0.691456594604623,14.552361749870627,15.541638250129377,2.851754145518179,0.5675491792307277,2.4457539206774954,3.2577543703588625,0.0,0.0,0.0,0.0,0.2897435897435897,0.019301862889976443,0.27593586882714616,0.30355131066003327,18.6,1.4298407059684812,17.577153576547477,19.622846423452525,43.7,1.7669811040931427,42.435977864467304,44.9640221355327,7.6,1.837873166945363,6.285264737727458,8.914735262272542,9.1,1.1972189997378646,8.243561120578226,9.956438879421773,22.6,1.5055453054181622,21.522997768517406,23.677002231482597
0.3,1,0.8848101265822785,0.015154670882757773,0.8739691281085852,0.8956511250559719,0.7341463414634146,0.029200463408240628,0.713257588306786,0.7550350946200433,17.935282236842106,0.39812798071458694,17.65047863637777,18.220085837306442,15.047000000000002,0.691456594604623,14.552361749870627,15.541638250129377,2.851754145518179,0.5675491792307277,2.4457539206774954,3.2577543703588625,0.0,0.0,0.0,0.0,0.2658536585365854,0.029200463408240597,0.24496490537995677,0.28674241169321396,18.6,1.4298407059684812,17.577153576547477,19.622846423452525,43.7,1.7669811040931427,42.435977864467304,44.9640221355327,7.6,1.837873166945363,6.285264737727458,8.914735262272542,9.1,1.1972189997378646,8.243561120578226,9.956438879421773,10.9,1.1972189997378646,10.043561120578227,11.756438879421774
0.3,2,0.8848101265822785,0.015154670882757773,0.8739691281085852,0.8956511250559719,0.817391304347826,0.03429611468463543,0.7928573418602102,0.8419252668354419,17.935282236842106,0.39812798071458694,17.65047863637777,18.220085837306442,15.047000000000002,0.691456594604623,14.552361749870627,15.541638250129377,2.851754145518179,0.5675491792307277,2.4457539206774954,3.2577543703588625,0.0,0.0,0.0,0.0,0.1826086956521739,0.034296114684635455,0.15807473316455803,0.2071426581397898,18.6,1.4298407059684812,17.577153576547477,19.622846423452525,43.7,1.7669811040931427,42.435977864467304,44.9640221355327,7.6,1.837873166945363,6.285264737727458,8.914735262272542,9.1,1.1972189997378646,8.243561120578226,9.956438879421773,4.2,0.7888106377466155,3.6357188627848345,4.764281137215166
0.3,3,0.8848101265822785,0.015154670882757773,0.8739691281085852,0.8956511250559719,0.8500000000000002,0.022587697572631307,0.8338417345514416,0.8661582654485588,17.935282236842106,0.39812798071458694,17.65047863637777,18.220085837306442,15.047000000000002,0.691456594604623,14.552361749870627,15.541638250129377,2.851754145518179,0.5675491792307277,2.4457539206774954,3.2577543703588625,0.0,0.0,0.0,0.0,0.14999999999999997,0.02258769757263128,0.13384173455144135,0.16615826544855858,18.6,1.4298407059684812,17.577153576547477,19.622846423452525,43.7,1.7669811040931427,42.435977864467304,44.9640221355327,7.6,1.837873166945363,6.285264737727458,8.914735262272542,9.1,1.1972189997378646,8.243561120578226,9.956438879421773,2.1,0.31622776601683794,1.8737842837201797,2.3262157162798207
0.35,0,0.8645569620253164,0.012008649342411559,0.8559664917868423,0.8731474322637905,0.773076923076923,0.032574083760956406,0.7497748273028559,0.79637901885099,17.904803930168562,0.525974665275272,17.528544320998286,18.281063539338838,15.210000000000003,0.9954005335653688,14.497933354107131,15.922066645892874,1.59935080688992,0.5510276841790848,1.2051693476313894,1.9935322661484507,0.0,0.0,0.0,0.0,0.22692307692307692,0.03257408376095641,0.20362098114900987,0.25022517269714395,17.0,1.3333333333333333,16.046190792039113,17.953809207960887,41.9,1.728840330651992,40.66326213014749,43.13673786985251,9.4,1.2649110640673518,8.495137134880718,10.304862865119283,10.7,0.9486832980505138,10.021352851160538,11.37864714883946,17.7,2.5407785333546005,15.882436529622769,19.51756347037723
0.35,1,0.8645569620253164,0.012008649342411559,0.8559664917868423,0.8731474322637905,0.7731707317073171,0.02583780257247271,0.7546874812019921,0.791653982212642,17.904803930168562,0.525974665275272,17.528544320998286,18.281063539338838,15.210000000000003,0.9954005335653688,14.497933354107131,15.922066645892874,1.59935080688992,0.5510276841790848,1.2051693476313894,1.9935322661484507,0.0,0.0,0.0,0.0,0.22682926829268296,0.025837802572472694,0.208346017787358,0.24531251879800792,17.0,1.3333333333333333,16.046190792039113,17.953809207960887,41.9,1.728840330651992,40.66326213014749,43.13673786985251,9.4,1.2649110640673518,8.495137134880718,10.304862865119283,10.7,0.9486832980505138,10.021352851160538,11.37864714883946,9.3,1.0593499054713802,8.542186729281678,10.057813270718324
0.35,2,0.8645569620253164,0.012008649342411559,0.8559664917868423,0.8731474322637905,0.8521739130434783,0.022452077369318344,0.8361126644439488,0.8682351616430078,17.904803930168562,0.525974665275272,17.528544320998286,18.281063539338838,15.210000000000003,0.9954005335653688,14.497933354107131,15.922066645892874,1.59935080688992,0.5510276841790848,1.2051693476313894,1.9935322661484507,0.0,0.0,0.0,0.0,0.14782608695652172,0.022452077369318358,0.13176483835699215,0.16388733555605128,17.0,1.3333333333333333,16.046190792039113,17.953809207960887,41.9,1.728840330651992,40.66326213014749,43.13673786985251,9.4,1.2649110640673518,8.495137134880718,10.304862865119283,10.7,0.9486832980505138,10.021352851160538,11.37864714883946,3.4,0.5163977794943223,3.03059128221082,3.76940871778918
0.35,3,0.8645569620253164,0.012008649342411559,0.8559664917868423,0.8731474322637905,0.8500000000000002,0.022587697572631307,0.8338417345514416,0.8661582654485588,17.904803930168562,0.525974665275272,17.528544320998286,18.281063539338838,15.210000000000003,0.9954005335653688,14.497933354107131,15.922066645892874,1.59935080688992,0.5510276841790848,1.2051693476313894,1.9935322661484507,0.0,0.0,0.0,0.0,0.14999999999999997,0.02258769757263128,0.13384173455144135,0.16615826544855858,17.0,1.3333333333333333,16.046190792039113,17.953809207960887,41.9,1.728840330651992,40.66326213014749,43.13673786985251,9.4,1.2649110640673518,8.495137134880718,10.304862865119283,10.7,0.9486832980505138,10.021352851160538,11.37864714883946,2.1,0.31622776601683794,1.8737842837201797,2.3262157162798207
