threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.2,1,0.9420168067226891,0.9401158343169763,0.9439177791284018,0.7619047619047619,0.7484340005940391,0.7753755232154846,0.5552822563778383,0.5416946767601283,0.5688698359955484,0.9765950682096655,0.9757992556380705,0.9773908807812605,0.8050301810865191,0.7948648873301489,0.8151954748428893,0.6985258815027259,0.6877591869270496,0.7092925760784021,0.23809523809523808,0.22462447678451533,0.2515659994059608,33.801128770470875,33.553253242028106,34.049004298913644,11.366146965865992,11.118971940902341,11.613321990829643
0.2,2,0.9420168067226891,0.9401158343169763,0.9439177791284018,0.8122377622377621,0.7989473693756989,0.8255281550998254,0.6767228932334289,0.6617208574473847,0.6917249290194731,0.9711442513437394,0.9701359828319056,0.9721525198555732,0.8503703703703703,0.8410165037799512,0.8597242369607895,0.7874592206114945,0.7771905224197672,0.7977279188032219,0.18776223776223774,0.17447184490017453,0.20105263062430095,33.801128770470875,33.553253242028106,34.049004298913644,11.366146965865992,11.118971940902341,11.613321990829643
0.2,3,0.9420168067226891,0.9401158343169763,0.9439177791284018,0.8262672811059908,0.8139277309137465,0.8386068312982351,0.7487474369269291,0.7356117621540162,0.761883111699842,0.9629352618969819,0.9616900020161794,0.9641805217777843,0.8672619047619048,0.8593465126784857,0.8751772968453239,0.8342196472919767,0.8260514724872801,0.8423878220966734,0.1737327188940092,0.1613931687017649,0.18607226908625352,33.801128770470875,33.553253242028106,34.049004298913644,11.366146965865992,11.118971940902341,11.613321990829643
0.25,0,0.9403361344537815,0.9384351620480688,0.9422371068594942,0.7699619771863118,0.7652073976388996,0.774716556733724,0.48055901042469246,0.47558498899057833,0.4855330318588066,0.9827722705903253,0.9822591586602892,0.9832853825203615,0.8013953488372092,0.7976089221809821,0.8051817754934363,0.636029446564227,0.6317252263172988,0.6403336668111552,0.23003802281368824,0.22528344326627597,0.2347926023611005,32.80581342415754,32.204366128366765,33.40726071994832,9.722596203346203,9.555340048667222,9.889852358025184
0.25,1,0.9403361344537815,0.9384351620480688,0.9422371068594942,0.8153439153439154,0.8113742187694093,0.8193136119184214,0.6159246289336953,0.6110827063523909,0.6207665515149996,0.9774844100858175,0.9768334309143877,0.9781353892572474,0.845271629778672,0.8424372512842869,0.848106008273057,0.7442929944234233,0.7409374955440277,0.747648493302819,0.18465608465608466,0.18068638808157855,0.18862578123059076,32.80581342415754,32.204366128366765,33.40726071994832,9.722596203346203,9.555340048667222,9.889852358025184
0.25,2,0.9403361344537815,0.9384351620480688,0.9422371068594942,0.8555944055944057,0.8529447088436424,0.858244102345169,0.7304485961179759,0.7268667410777919,0.7340304511581598,0.9718043920934619,0.970939489527687,0.9726692946592368,0.8804938271604937,0.8785950973636342,0.8823925569573533,0.8221991687169241,0.8198028952381019,0.8245954421957463,0.1444055944055944,0.14175589765483104,0.14705529115635774,32.80581342415754,32.204366128366765,33.40726071994832,9.722596203346203,9.555340048667222,9.889852358025184
0.25,3,0.9403361344537815,0.9384351620480688,0.9422371068594942,0.868663594470046,0.8663325635060807,0.8709946254340114,0.797027226884959,0.794233871981496,0.799820581788422,0.9637044652453621,0.9626165043094356,0.9647924261812887,0.8940476190476192,0.8925589828321794,0.895536255263059,0.8627642373111499,0.8610389952095416,0.8644894794127582,0.1313364055299539,0.12900537456598854,0.13366743649391927,32.80581342415754,32.204366128366765,33.40726071994832,9.722596203346203,9.555340048667222,9.889852358025184
0.3,0,0.9243697478991597,0.9215359455508096,0.9272035502475098,0.7952471482889735,0.7917327335529735,0.7987615630249735,0.5053446009586083,0.5012561170205374,0.5094330848966793,0.978940026385553,0.9781923885423995,0.9796876642287065,0.8190697674418604,0.8163505719138454,0.8217889629698755,0.6534305272408732,0.6500760923275388,0.6567849621542077,0.20475285171102664,0.20123843697502664,0.20826726644702664,33.28652272727273,33.090409125056965,33.4826363294885,9.214629437444117,9.106213276754879,9.323045598133355
0.3,1,0.9243697478991597,0.9215359455508096,0.9272035502475098,0.830952380952381,0.8288696989284885,0.8330350629762735,0.6325693964169925,0.6299403729537988,0.6351984198801862,0.9721482515372453,0.9711577627332995,0.9731387403411911,0.8533199195171026,0.8518885883305443,0.854751250703661,0.7511150511913588,0.749200753898116,0.7530293484846016,0.16904761904761906,0.16696493702372658,0.17113030107151153,33.28652272727273,33.090409125056965,33.4826363294885,9.214629437444117,9.106213276754879,9.323045598133355
0.3,2,0.9243697478991597,0.9215359455508096,0.9272035502475098,0.8664335664335663,0.8648516383476934,0.8680154945194392,0.7422500299230885,0.7399045293123396,0.7445955305338374,0.9649560242696074,0.9636836779157067,0.966228370623508,0.8834567901234568,0.8820635033649008,0.8848500768820128,0.8233541627438079,0.8213157445761868,0.825392580911429,0.13356643356643358,0.1319845054805607,0.13514836165230645,33.28652272727273,33.090409125056965,33.4826363294885,9.214629437444117,9.106213276754879,9.323045598133355
