threshold,mask_length,sensitivity_mean,sensitivity_ci_lower,sensitivity_ci_upper,specificity_mean,specificity_ci_lower,specificity_ci_upper,PPV_mean,PPV_ci_lower,PPV_ci_upper,NPV_mean,NPV_ci_lower,NPV_ci_upper,accuracy_mean,accuracy_ci_lower,accuracy_ci_upper,f1_mean,f1_ci_lower,f1_ci_upper,false_alarm_rate_mean,false_alarm_rate_ci_lower,false_alarm_rate_ci_upper,mean_lead_time_mean,mean_lead_time_ci_lower,mean_lead_time_ci_upper,mean_net_lead_time_mean,mean_net_lead_time_ci_lower,mean_net_lead_time_ci_upper
0.15,2,0.9411764705882353,0.9383426682398852,0.9440102729365853,0.786013986013986,0.7679079914977376,0.8041199805302344,0.6476847573808565,0.6283127392596173,0.6670567755020957,0.9697923102301331,0.968405262133788,0.9711793583264783,0.8316049382716051,0.8190101896427034,0.8441996869005067,0.767016727788582,0.7536646566227334,0.7803687989544306,0.213986013986014,0.19588001946976563,0.23209200850226236,34.13691017126149,33.342543310406356,34.931277032116625,11.549110324056674,10.773355223134795,12.324865424978553
0.15,3,0.9411764705882353,0.9383426682398852,0.9440102729365853,0.8175115207373272,0.7997793348444189,0.8352437066302356,0.7396395638355274,0.7209818336280497,0.7582972940430052,0.9620341270955871,0.9603470358586277,0.9637212183325465,0.8613095238095237,0.8501244710296603,0.8724945765893872,0.8280784265485028,0.816662017700934,0.8394948353960716,0.1824884792626728,0.16475629336976444,0.20022066515558118,34.13691017126149,33.342543310406356,34.931277032116625,11.549110324056674,10.773355223134795,12.324865424978553
0.2,0,0.9369747899159664,0.9327240863934413,0.9412254934384915,0.7720532319391635,0.7600857988627666,0.7840206650155604,0.4824923664353188,0.4695302958704624,0.49545443700017516,0.9818770982391172,0.9808039720700806,0.9829502244081537,0.8024806201550387,0.7930959379493209,0.8118653023607566,0.6367617362520236,0.626035199200297,0.6474882733037501,0.22794676806083652,0.21597933498443955,0.2399142011372335,33.169370243930906,32.60558247058065,33.73315801728116,9.914223824148824,9.581891355651958,10.246556292645689
0.2,1,0.9369747899159664,0.9327240863934413,0.9412254934384915,0.8050264550264551,0.7947748014951187,0.8152781085577915,0.6025270426078434,0.5901881790610466,0.6148659061546402,0.9759576976058832,0.9744923329498584,0.9774230622619081,0.8366197183098592,0.8291931438869797,0.8440462927327386,0.7332665351806554,0.7245790368475918,0.741954033513719,0.19497354497354497,0.18472189144220863,0.2052251985048813,33.169370243930906,32.60558247058065,33.73315801728116,9.914223824148824,9.581891355651958,10.246556292645689
0.2,2,0.9369747899159664,0.9327240863934413,0.9412254934384915,0.8437062937062937,0.8342698131114208,0.8531427743011666,0.7142104361102575,0.702096904643487,0.726323967577028,0.9698655812329265,0.9679751887048959,0.9717559737609572,0.8711111111111112,0.8646722050955642,0.8775500171266581,0.810446401048633,0.8028205393882721,0.8180722627089938,0.15629370629370629,0.14685722569883342,0.16573018688857916,33.169370243930906,32.60558247058065,33.73315801728116,9.914223824148824,9.581891355651958,10.246556292645689
0.2,3,0.9369747899159664,0.9327240863934413,0.9412254934384915,0.8599078341013826,0.8538491462568086,0.8659665219459566,0.7858965794654061,0.7789416844936355,0.7928514744371767,0.9613828582745351,0.9590256545017368,0.9637400620473333,0.887202380952381,0.883806284757485,0.890598477147277,0.8547616924653546,0.8510663907170812,0.858456994213628,0.1400921658986175,0.1340334780540436,0.14615085374319142,33.169370243930906,32.60558247058065,33.73315801728116,9.914223824148824,9.581891355651958,10.246556292645689
0.25,0,0.9277310924369748,0.9226618326884074,0.9328003521855422,0.7982889733840304,0.7908828650212507,0.80569508174681,0.5102268396108893,0.5012321688156101,0.5192215104061686,0.9799394237796182,0.9786295921272165,0.9812492554320199,0.8221705426356589,0.8164659911718893,0.8278750940994285,0.6582633454771131,0.6511788366778307,0.6653478542763954,0.20171102661596957,0.19430491825318985,0.2091171349787493,32.87139425292844,32.47989348125983,33.26289502459705,9.423245328206797,9.201169859822095,9.645320796591498
0.25,1,0.9277310924369748,0.9226618326884074,0.9328003521855422,0.8288359788359788,0.8219805493455331,0.8356914083264245,0.6307495387767333,0.6215498595493418,0.6399492180041249,0.9732955764513431,0.9715434885881661,0.9750476643145202,0.8525150905432595,0.8476198899204932,0.8574102911660257,0.7508541309464825,0.7446533340563445,0.7570549278366204,0.17116402116402116,0.1643085916735754,0.17801945065446692,32.87139425292844,32.47989348125983,33.26289502459705,9.423245328206797,9.201169859822095,9.645320796591498
0.25,2,0.9277310924369748,0.9226618326884074,0.9328003521855422,0.862937062937063,0.8566093505935715,0.8692647752805545,0.738167550683132,0.7293992276283308,0.7469358737379332,0.9663424236663634,0.9641285206730785,0.9685563266596482,0.8819753086419754,0.8777459808423617,0.8862046364415891,0.8220928186715483,0.8167766431805135,0.8274089941625831,0.13706293706293707,0.1307352247194456,0.14339064940642854,32.87139425292844,32.47989348125983,33.26289502459705,9.423245328206797,9.201169859822095,9.645320796591498
0.25,3,0.9277310924369748,0.9226618326884074,0.9328003521855422,0.8741935483870968,0.8687990594492051,0.8795880373249886,0.8018587736327228,0.7953039396072697,0.8084136076581759,0.9566575188248739,0.9538584095745052,0.9594566280752427,0.8931547619047618,0.8900694921332114,0.8962400316763123,0.8601661842023102,0.8565932975987658,0.8637390708058545,0.12580645161290324,0.1204119626750115,0.13120094055079498,32.87139425292844,32.47989348125983,33.26289502459705,9.423245328206797,9.201169859822095,9.645320796591498
