model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
MCI_AD_seed142,0.5,1,79,48,9,39,31,0.6075949367088608,0.9024390243902439,17.34888888888889,14.650000000000002,0.0975609756097561,41,4
MCI_AD_seed142,0.5,2,79,32,6,26,47,0.4050632911392405,0.9130434782608696,20.521666666666665,18.265,0.08695652173913043,23,2
MCI_AD_seed142,0.5,3,79,23,4,19,56,0.2911392405063291,0.8571428571428572,22.292500000000004,20.995,0.14285714285714285,14,2
MCI_AD_seed142,0.6,0,79,57,6,51,22,0.7215189873417721,0.9487179487179487,13.300000000000002,11.725000000000001,0.05128205128205128,78,4
MCI_AD_seed142,0.6,1,79,45,6,39,34,0.569620253164557,0.9512195121951219,13.300000000000002,11.725000000000001,0.04878048780487805,41,2
MCI_AD_seed142,0.6,2,79,25,3,22,54,0.31645569620253167,0.9565217391304348,15.59666666666667,12.880000000000003,0.043478260869565216,23,1
MCI_AD_seed142,0.6,3,79,17,2,15,62,0.21518987341772153,0.9285714285714286,11.730000000000002,11.730000000000002,0.07142857142857142,14,1
MCI_AD_seed142,0.7,0,79,53,3,50,26,0.6708860759493671,0.9743589743589743,11.836666666666668,12.05,0.02564102564102564,78,2
MCI_AD_seed142,0.7,1,79,37,3,34,42,0.46835443037974683,1.0,11.836666666666668,12.05,0.0,41,0
MCI_AD_seed142,0.7,2,79,23,2,21,56,0.2911392405063291,1.0,11.730000000000002,11.730000000000002,0.0,23,0
MCI_AD_seed142,0.7,3,79,16,2,14,63,0.20253164556962025,1.0,11.730000000000002,11.730000000000002,0.0,14,0
MCI_AD_seed228,0.3,0,79,72,19,53,7,0.9113924050632911,0.7051282051282051,18.287894736842105,15.440000000000001,0.2948717948717949,78,23
MCI_AD_seed228,0.3,1,79,55,19,36,24,0.6962025316455697,0.7073170731707317,18.287894736842105,15.440000000000001,0.2926829268292683,41,12
MCI_AD_seed228,0.3,2,79,43,16,27,36,0.5443037974683544,0.782608695652174,19.441875000000003,18.265,0.21739130434782608,23,5
MCI_AD_seed228,0.3,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,21.14888888888889,21.090000000000003,0.14285714285714285,14,2
MCI_AD_seed228,0.4,0,79,66,16,50,13,0.8354430379746836,0.8076923076923077,17.9,14.850000000000001,0.19230769230769232,78,15
MCI_AD_seed228,0.4,1,79,53,16,37,26,0.6708860759493671,0.8048780487804879,17.9,14.850000000000001,0.1951219512195122,41,8
MCI_AD_seed228,0.4,2,79,39,13,26,40,0.4936708860759494,0.8695652173913043,19.230769230769234,17.22,0.13043478260869565,23,3
MCI_AD_seed228,0.4,3,79,26,9,17,53,0.3291139240506329,0.8571428571428572,19.98111111111111,17.22,0.14285714285714285,14,2
MCI_AD_seed228,0.5,0,79,62,12,50,17,0.7848101265822784,0.9102564102564102,17.35666666666667,15.045000000000002,0.08974358974358974,78,7
MCI_AD_seed228,0.5,1,79,51,12,39,28,0.6455696202531646,0.8780487804878049,17.35666666666667,15.045000000000002,0.12195121951219512,41,5
MCI_AD_seed228,0.5,2,79,32,9,23,47,0.4050632911392405,0.9130434782608696,19.09777777777778,17.22,0.08695652173913043,23,2
MCI_AD_seed228,0.5,3,79,21,5,16,58,0.26582278481012656,0.8571428571428572,20.264000000000003,17.22,0.14285714285714285,14,2
