model_key,threshold,mask_length,n_prog,n_detected,n_early,n_at_conv,n_missed,sensitivity,specificity,mean_lead_time,median_lead_time,false_alarm_rate,n_ctrl,n_false_alarm
pooled_MCI_AD_variant5,0.3,1,79,56,16,40,23,0.7088607594936709,0.7317073170731707,17.01375,15.9,0.2682926829268293,41,11
pooled_MCI_AD_variant5,0.4,1,79,51,13,38,28,0.6455696202531646,0.7804878048780488,14.200000000000001,12.68,0.21951219512195122,41,9
pooled_MCI_AD_variant5,0.5,1,79,46,9,37,33,0.5822784810126582,0.8536585365853658,13.837777777777777,12.62,0.14634146341463414,41,6
pooled_MCI_AD_variant5,0.6,1,79,42,4,38,37,0.5316455696202531,0.9024390243902439,12.875,11.315000000000001,0.0975609756097561,41,4
pooled_MCI_AD_variant5,0.7,0,79,43,0,43,36,0.5443037974683544,0.9743589743589743,,,0.02564102564102564,78,2
pooled_MCI_AD_variant6,0.3,1,79,56,15,41,23,0.7088607594936709,0.6585365853658536,18.01,17.22,0.34146341463414637,41,14
pooled_MCI_AD_variant6,0.4,1,79,50,12,38,29,0.6329113924050633,0.7560975609756098,16.22666666666667,15.9,0.24390243902439024,41,10
pooled_MCI_AD_variant6,0.5,1,79,47,8,39,32,0.5949367088607594,0.8536585365853658,12.46625,11.79,0.14634146341463414,41,6
pooled_MCI_AD_variant6,0.6,1,79,39,3,36,40,0.4936708860759494,0.926829268292683,14.660000000000002,12.62,0.07317073170731707,41,3
pooled_MCI_AD_variant6,0.7,0,79,42,0,42,37,0.5316455696202531,0.9871794871794872,,,0.01282051282051282,78,1
pooled_MCI_AD_variant7,0.3,1,79,55,16,39,24,0.6962025316455697,0.7317073170731707,16.083125000000003,15.045000000000002,0.2682926829268293,41,11
pooled_MCI_AD_variant7,0.4,1,79,51,12,39,28,0.6455696202531646,0.7560975609756098,16.22666666666667,15.9,0.24390243902439024,41,10
pooled_MCI_AD_variant7,0.5,1,79,47,10,37,32,0.5949367088607594,0.9024390243902439,14.089999999999998,12.649999999999999,0.0975609756097561,41,4
pooled_MCI_AD_variant7,0.6,1,79,43,5,38,36,0.5443037974683544,0.9024390243902439,11.241999999999999,11.4,0.0975609756097561,41,4
pooled_MCI_AD_variant7,0.7,1,79,33,1,32,46,0.4177215189873418,0.926829268292683,12.05,12.05,0.07317073170731707,41,3
pooled_MCI_AD_variant8,0.3,1,79,55,15,40,24,0.6962025316455697,0.7073170731707317,16.976000000000003,16.36,0.2926829268292683,41,12
pooled_MCI_AD_variant8,0.4,1,79,51,14,37,28,0.6455696202531646,0.7804878048780488,14.856428571428571,12.879999999999999,0.21951219512195122,41,9
pooled_MCI_AD_variant8,0.5,1,79,46,7,39,33,0.5822784810126582,0.8536585365853658,13.22142857142857,11.529999999999998,0.14634146341463414,41,6
pooled_MCI_AD_variant8,0.6,1,79,43,5,38,36,0.5443037974683544,0.926829268292683,11.241999999999999,11.4,0.07317073170731707,41,3
pooled_MCI_AD_variant8,0.7,0,79,43,0,43,36,0.5443037974683544,0.9615384615384616,,,0.038461538461538464,78,3
pooled_MCI_AD_variant9,0.3,1,79,55,15,40,24,0.6962025316455697,0.7073170731707317,17.03066666666667,16.36,0.2926829268292683,41,12
pooled_MCI_AD_variant9,0.4,1,79,51,13,38,28,0.6455696202531646,0.7804878048780488,15.008461538461539,12.880000000000003,0.21951219512195122,41,9
pooled_MCI_AD_variant9,0.5,1,79,47,9,38,32,0.5949367088607594,0.8780487804878049,13.837777777777777,12.62,0.12195121951219512,41,5
pooled_MCI_AD_variant9,0.6,1,79,43,4,39,36,0.5443037974683544,0.926829268292683,13.080000000000002,11.725000000000001,0.07317073170731707,41,3
pooled_MCI_AD_variant9,0.7,0,79,46,0,46,33,0.5822784810126582,0.9615384615384616,,,0.038461538461538464,78,3
