Responses,Coding,Count,Pct
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,14,0.03
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,14,0.03
"('MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'Unknown', 'CN')",cn_mci_dementia,14,0.03
"('CN', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'MCI', 'DEM')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'CN', 'MCI', 'CN', 'CN')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,14,0.03
"('CN', 'CN', 'Unknown', 'Unknown')",cn_mci_dementia,14,0.03
"('Unknown', 'DEM', 'DEM')",cn_mci_dementia,14,0.03
"('DEM', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,13,0.02
"('MCI', 'MCI', 'MCI', 'CN', 'CN')",cn_mci_dementia,13,0.02
"('DEM', 'DEM', 'MCI')",cn_mci_dementia,13,0.02
"('CN', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,13,0.02
"('CN', 'CN', 'CN', 'MCI', 'CN')",cn_mci_dementia,13,0.02
"('DEM', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,13,0.02
"('CN', 'CN', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,13,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,13,0.02
"('MCI', 'CN', 'CN', 'MCI')",cn_mci_dementia,13,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,13,0.02
"('CN', 'CN', 'CN', 'DEM')",cn_mci_dementia,13,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,12,0.02
"('MCI', 'MCI', 'DEM', 'MCI')",cn_mci_dementia,12,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,12,0.02
"('CN', 'Unknown', 'CN', 'CN', 'CN')",cn_mci_dementia,12,0.02
"('CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,12,0.02
"('MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,12,0.02
"('CN', 'CN', 'CN', 'Unknown', 'CN')",cn_mci_dementia,12,0.02
"('CN', 'CN', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,12,0.02
"('Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,12,0.02
"('MCI', 'CN', 'MCI', 'MCI')",cn_mci_dementia,12,0.02
"('DEM', 'DEM', 'MCI', 'MCI')",cn_mci_dementia,12,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'Unknown')",cn_mci_dementia,11,0.02
"('Unknown', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,11,0.02
"('CN', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,11,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI')",cn_mci_dementia,11,0.02
"('CN', 'CN', 'MCI', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,11,0.02
"('CN', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,11,0.02
"('CN', 'CN', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,11,0.02
"('CN', 'Unknown', 'Unknown', 'Unknown')",cn_mci_dementia,11,0.02
"('CN', 'MCI', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,11,0.02
"('MCI', 'Unknown', 'DEM')",cn_mci_dementia,11,0.02
"('CN', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,11,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,11,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'CN')",cn_mci_dementia,10,0.02
"('CN', 'CN', 'MCI', 'CN', 'CN')",cn_mci_dementia,10,0.02
"('MCI', 'CN', 'CN', 'CN', 'CN', 'MCI')",cn_mci_dementia,10,0.02
"('CN', 'CN', 'CN', 'CN', 'Unknown', 'CN')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'Unknown', 'Unknown')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,10,0.02
"('MCI', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'MCI', 'DEM')",cn_mci_dementia,10,0.02
"('Unknown', 'CN', 'Unknown')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'MCI', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,10,0.02
"('Unknown', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,10,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'CN', 'MCI', 'MCI', 'MCI')",cn_mci_dementia,10,0.02
"('MCI', 'MCI', 'MCI', 'CN', 'CN', 'CN')",cn_mci_dementia,10,0.02
"('CN', 'CN', 'CN', 'CN', 'CN', 'DEM', 'DEM')",cn_mci_dementia,9,0.02
"('Unknown', 'MCI', 'DEM')",cn_mci_dementia,9,0.02
"('CN', 'CN', 'CN', 'MCI', 'MCI', 'DEM', 'DEM')",cn_mci_dementia,9,0.02
"('MCI', 'MCI', 'MCI', 'CN', 'MCI')",cn_mci_dementia,9,0.02
"('CN', 'MCI', 'DEM', 'DEM', 'DEM')",cn_mci_dementia,9,0.02
"('MCI', 'MCI', 'Unknown', 'MCI')",cn_mci_dementia,9,0.02
"('CN', 'CN', 'CN', 'CN', 'MCI', 'DEM')",cn_mci_dementia,9,0.02
"('CN', 'CN', 'CN', 'CN', 'MCI', 'CN', 'CN')",cn_mci_dementia,9,0.02
"('CN', 'CN', 'Unknown', 'CN', 'CN')",cn_mci_dementia,9,0.02
"('Unknown', 'Unknown', 'Unknown', 'CN')",cn_mci_dementia,9,0.02
