key,dataset,progression_type,seed,base_auc,base_avg_precision,accuracy,accuracy_lo,accuracy_hi,precision_macro,precision_macro_lo,precision_macro_hi,recall_macro,recall_macro_lo,recall_macro_hi,f1_macro,f1_macro_lo,f1_macro_hi,auc,auc_lo,auc_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
MCI_AD_seed654,MCI_AD,AD,654,0.9152354639585822,0.9280729244652369,0.8253968253968254,0.7936507936507936,0.8571428571428571,0.8254921235348281,0.795328759874141,0.857004879829379,0.8255488351254481,0.7946653940458195,0.856643758539903,0.8253946529387064,0.7936402024861875,0.8568007568904508,0.9152354639585822,0.8911478849935555,0.935580638459865,0.8362989323843416,0.7952056380135989,0.878912896427921,0.8146853146853147,0.7686444507565976,0.8585876432166185
MCI_AD_seed114,MCI_AD,AD,114,0.9071709478295501,0.9211821153001407,0.8201058201058201,0.7901234567901234,0.8518518518518519,0.8234364416346804,0.7919167414779149,0.8549970387233088,0.8209005376344086,0.7913296636558952,0.8538590959553164,0.8198587127158556,0.7892715329602196,0.8518298213611584,0.9071709478295501,0.8827215923127117,0.9294184259793337,0.8604651162790697,0.8194918017144038,0.9044117647058824,0.7864077669902912,0.739806197753396,0.8333469055374593
MCI_AD_seed25,MCI_AD,AD,25,0.8919628634010354,0.9100640290781371,0.800705467372134,0.7671957671957672,0.8324514991181657,0.802191011235955,0.7685537038673532,0.8337357917298579,0.8012432795698925,0.7671081880448319,0.8332086965753254,0.8006161602016524,0.76692533513733,0.8323200095957471,0.8919628634010354,0.8628884479221656,0.9166132196128959,0.8277153558052435,0.780291723202171,0.8730911552346571,0.7766666666666666,0.7272575757575758,0.8254176424668227
MCI_AD_seed759,MCI_AD,AD,759,0.8917264038231781,0.9140482661858549,0.8201058201058201,0.7883597883597884,0.8500881834215167,0.8244446680586652,0.792379312388015,0.8534378193305059,0.8210125448028673,0.7892373525038091,0.8513804659794952,0.8197554103919418,0.7875339021234569,0.8500210054614199,0.8917264038231781,0.8632076808989851,0.9172834154063811,0.8661417322834646,0.8191817381136774,0.9062556205035971,0.7827476038338658,0.733124055633431,0.8282828282828283
MCI_AD_seed281,MCI_AD,AD,281,0.8911165870171246,0.9116614080054734,0.8130511463844797,0.781305114638448,0.8447971781305115,0.8130946450809464,0.7818075908628659,0.8443605446822285,0.8128920250896057,0.7815755796276896,0.8445841390991881,0.8129528196190713,0.7812199119235381,0.844141224818471,0.8911165870171246,0.8641735832477251,0.916742679915714,0.8116438356164384,0.7667844522968198,0.8571428571428571,0.8145454545454546,0.7695163990614042,0.8615397923875433
MCI_AD_seed250,MCI_AD,AD,250,0.8997411389884509,0.914559759379745,0.8095238095238095,0.7795414462081128,0.8412698412698413,0.8108870363899565,0.7792342058214741,0.8434745947281016,0.8100358422939068,0.7793005536836256,0.8423260185992043,0.8094520923053945,0.778745867581548,0.8411608475246644,0.8997411389884509,0.8761462398102844,0.9245994781424542,0.835820895522388,0.7950484733170246,0.8795262445129354,0.7859531772575251,0.7401722373409625,0.8310480943738657
MCI_AD_seed228,MCI_AD,AD,228,0.9180231979291119,0.9299090186016264,0.8218694885361552,0.7901234567901234,0.8501322751322751,0.8219645123559713,0.7902405111117181,0.8511338299828881,0.8220206093189963,0.7901221472369593,0.8508503481520511,0.8218672721899933,0.7899091097350253,0.8501128505942418,0.9180231979291119,0.8966701951897896,0.93726133229827,0.8327402135231317,0.7871599141917583,0.8758626803619467,0.8111888111888111,0.7635023307279405,0.853252726213269
MCI_AD_seed142,MCI_AD,AD,142,0.9143269613699722,0.9270863440276995,0.818342151675485,0.7865961199294532,0.8500881834215167,0.8205923554132479,0.7889010016641966,0.8525809374019838,0.8189964157706093,0.7867118925203253,0.8506576655052266,0.8181973832078273,0.7861384355122698,0.8500215187860638,0.9143269613699722,0.8903823072137277,0.9349091509038742,0.8517110266159695,0.8066606823401044,0.8929962224523431,0.7894736842105263,0.7434952200577202,0.8366029411764706
MCI_AD_seed754,MCI_AD,AD,754,0.901383910792513,0.9191843004305156,0.818342151675485,0.7865961199294532,0.8518518518518519,0.8190737833594977,0.7879209784162903,0.8524907499128964,0.8187163978494623,0.7877409406120467,0.8519766608380369,0.8183218075426268,0.7865854986266343,0.851815438001599,0.901383910792513,0.8759336955434447,0.9256661439098696,0.8388278388278388,0.79332421875,0.8819169877701457,0.7993197278911565,0.7516995539937829,0.8440753732180941
MCI_AD_seed104,MCI_AD,AD,104,0.9026284348864995,0.9208893000122517,0.8095238095238095,0.7777777777777778,0.8395061728395061,0.8096689895470384,0.778002011353117,0.8395305527157062,0.8096998207885304,0.7777992037764112,0.8391780834691267,0.8095232170407605,0.7775279639271568,0.8393451125027321,0.9026284348864995,0.8767569730271739,0.925018683122571,0.8214285714285714,0.7727234721799939,0.8608134920634921,0.7979094076655052,0.75,0.8400247349823321
