key,dataset,progression_type,variant,base_auc,base_avg_precision,accuracy,accuracy_lo,accuracy_hi,precision_macro,precision_macro_lo,precision_macro_hi,recall_macro,recall_macro_lo,recall_macro_hi,f1_macro,f1_macro_lo,f1_macro_hi,auc,auc_lo,auc_hi,ppv,ppv_lo,ppv_hi,npv,npv_lo,npv_hi
pooled_MCI_AD_variant0,pooled_MCI_AD,AD,0,0.8956217642373556,0.9148518782547999,0.8112874779541446,0.7794973544973545,0.8448412698412698,0.8122444400119677,0.7796229720718193,0.8470092582614955,0.8117159498207885,0.7794667370678341,0.8459452948343467,0.8112499027766975,0.7783110074671922,0.8448300302773765,0.8956217642373556,0.8693769655749856,0.920409222935322,0.8339483394833949,0.7914942661211318,0.880004132231405,0.7905405405405406,0.7414866917640843,0.8349539585627064
pooled_MCI_AD_variant1,pooled_MCI_AD,AD,1,0.8972645360414178,0.9150439707551798,0.8112874779541446,0.7777777777777778,0.8447971781305115,0.812808988764045,0.7803160859577654,0.8461908291393987,0.8118279569892473,0.7794749958308783,0.8446653012298665,0.8112029127573168,0.7777766717771657,0.8446583079029614,0.8972645360414178,0.8707971357702441,0.9217374619389507,0.8389513108614233,0.7977920127974855,0.8832776795189247,0.7866666666666666,0.7377608047690015,0.831081081081081
pooled_MCI_AD_variant2,pooled_MCI_AD,AD,2,0.8963933691756273,0.9149525305045738,0.8130511463844797,0.7795414462081128,0.8447971781305115,0.814141414141414,0.7818267449146646,0.8457911895414371,0.813508064516129,0.7812180151144019,0.8458400524564614,0.8130040322580645,0.7794701732991784,0.8447584508823198,0.8963933691756273,0.8696759932272297,0.920603650991249,0.837037037037037,0.7969189016602809,0.8803203890703891,0.7912457912457912,0.74295523138833,0.8339487115647952
pooled_MCI_AD_variant3,pooled_MCI_AD,AD,3,0.8960946833930705,0.9149330951011606,0.8095238095238095,0.7760141093474426,0.8430335097001763,0.8111995104039168,0.7782082575295622,0.8449036885856054,0.8100918458781362,0.7766590681291325,0.8432318095402773,0.8094236275364123,0.7759975909912383,0.8428404617331997,0.8960946833930705,0.870143427389237,0.9203264793546087,0.8383458646616542,0.7962962962962963,0.884071906354515,0.7840531561461794,0.7333333333333333,0.8287694217155466
pooled_MCI_AD_variant4,pooled_MCI_AD,AD,4,0.8950990641178813,0.913985300755543,0.8130511463844797,0.781305114638448,0.8465608465608465,0.8144249488344233,0.7823205807860031,0.8485845955711725,0.8135640681003584,0.7812581067720616,0.847946933952262,0.8129807572627019,0.7810490201459439,0.8465533529482066,0.8950990641178813,0.8690900662086817,0.9196951157359192,0.8395522388059702,0.7979033067151128,0.8853177123020913,0.7892976588628763,0.741202224588806,0.8333469055374593
pooled_MCI_AD_variant5,pooled_MCI_AD,AD,5,0.8934936280366388,0.9135693034938377,0.8042328042328042,0.7707231040564374,0.8377425044091711,0.8057303370786517,0.7726750861079219,0.8386160582340526,0.8047715053763441,0.7715732060405955,0.8379078144156606,0.8041450777202073,0.7706653225806452,0.8371941592853124,0.8934936280366388,0.8671608767108759,0.9183913562380397,0.8314606741573034,0.7894590643274854,0.8750117924528302,0.78,0.7310065725413827,0.8256721850733391
pooled_MCI_AD_variant6,pooled_MCI_AD,AD,6,0.8956217642373556,0.9141178793932554,0.818342151675485,0.7848324514991182,0.8500881834215167,0.8209939148073022,0.7878965079745865,0.8528232743440322,0.8190524193548387,0.7873924605799812,0.8503739781573684,0.8181588902900379,0.784822811003758,0.8499044186053245,0.8956217642373556,0.8693734690955067,0.9193508577847624,0.8544061302681992,0.8142266776378624,0.8964246189843799,0.7875816993464052,0.7388210896429304,0.8311258278145696
pooled_MCI_AD_variant7,pooled_MCI_AD,AD,7,0.8949497212266029,0.9143497267325473,0.8042328042328042,0.7707231040564374,0.8395061728395061,0.8051760247332203,0.7718766827068732,0.8409153279560903,0.8046594982078853,0.771485105542854,0.8385909052739294,0.8041938243758264,0.7706637523818082,0.8389269915993669,0.8949497212266029,0.8683258152384127,0.9191683282946589,0.8265682656826568,0.7824305515697642,0.8727944739236796,0.7837837837837838,0.7352892481495911,0.8283875530410184
pooled_MCI_AD_variant8,pooled_MCI_AD,AD,8,0.8987455197132616,0.9166951221183488,0.8112874779541446,0.7777777777777778,0.8430335097001763,0.8122444400119677,0.7792971047911396,0.8452383620413652,0.8117159498207885,0.778602393483963,0.8438698830339465,0.8112499027766975,0.7776210348016989,0.8429397090390294,0.8987455197132616,0.8732073507636171,0.9225373288301731,0.8339483394833949,0.7920892252172633,0.8793809479161783,0.7905405405405406,0.7415858281604325,0.8356717809004874
pooled_MCI_AD_variant9,pooled_MCI_AD,AD,9,0.8945888092393468,0.9136133287111128,0.8059964726631393,0.7724867724867724,0.8395061728395061,0.8066067113425176,0.7740171075979034,0.8405080739951407,0.806339605734767,0.7733933176898171,0.8392022567233629,0.8059813851628799,0.7721984460721002,0.839221259753103,0.8945888092393468,0.8683902866372111,0.9191084981958441,0.8248175182481752,0.7835742863628625,0.8705090680307466,0.78839590443686,0.738971372102773,0.8317539076699383
