trial,score,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,colsample_bylevel,colsample_bynode,min_child_weight,gamma,reg_alpha,reg_lambda
826,0.9049283277771609,843,3,0.009047436418786418,0.8553266634402958,0.9353578655790212,0.6689912733058304,0.6276328956760647,3,0.4744789266067079,0.005850518212800719,0.00023281360902254266
827,0.9052292061020311,858,3,0.008934484666272374,0.9223220683371327,0.9358673835492654,0.6312061234508891,0.5793975849409085,3,0.42807026531402176,0.005283335746406877,0.007744909058086351
828,0.9045414767343157,857,3,0.00910103968921279,0.8500341979712641,0.9172886075519352,0.6680793594302087,0.5725872970863785,3,0.6455585577740354,0.002650988680464127,0.0003194898896372315
804,0.8999612916419508,840,10,0.0072221785995863486,0.8873641129380037,0.955005278677851,0.6061872682360233,0.5371687040793252,2,0.0496373903313273,0.004204988541369313,0.0001762242850685939
830,0.9052638537552724,856,3,0.0073610205443104945,0.9208577352866562,0.9181870150918761,0.7032752678096519,0.5714397412880367,3,0.6111100473462555,0.005824332784084055,1.2227036889816645
833,0.9032217504844142,856,3,0.007654836728223639,0.9212689323044274,0.25897945947681533,0.7058991674582706,0.5596893504842848,3,0.5809121344557138,0.005054368047279499,0.7948237264300163
831,0.904625275958864,858,3,0.007507773282892202,0.9500268818964979,0.9163561635428413,0.700235790034517,0.572859554685648,3,0.5154673994793418,0.00498349066762545,0.8450590295231504
832,0.8984707641720711,858,3,0.007549536347386626,0.2378874938993748,0.9151171191285732,0.705497706352773,0.5654823028608965,3,0.6014833095964455,0.004982422837521233,0.6101858973182239
835,0.9053421477137513,837,3,0.007540802132819461,0.9477531924297736,0.5517478510264487,0.7103273175201938,0.557648813984254,2,0.22784082922183366,0.002475402639501702,1.0509443548499446
834,0.905416209167788,852,3,0.007469934426688888,0.946010947181232,0.9165476927514995,0.7044614826100393,0.5568463980092025,2,0.5000390527002435,0.005752741997459233,0.7182236460150025
840,0.9014516248870228,681,3,0.007764079724283422,0.946295634980815,0.2643635965948039,0.7043785583512845,0.5578108820903904,2,0.23684549713775638,0.007929619757390758,0.7460057567713997
836,0.9053264273630539,856,3,0.007594165879629884,0.9318876306645337,0.9098890740607135,0.70186773373846,0.5540172297584296,2,0.22960763441089316,0.0059336928271054275,1.0590096327333995
837,0.906000624848953,777,3,0.007549569473359945,0.9496053908762592,0.9169417640164306,0.7061504286329106,0.5548475960936982,2,0.5565980057879726,0.002545783683457083,1.1524653214614546
844,0.9017202615897248,297,3,0.009919061376400978,0.9310181360542376,0.9002690528073783,0.7322755615550128,0.6067492564312965,2,0.14332788862935844,0.007694065250475114,0.277646650552132
839,0.9057042428093794,775,3,0.007741692064479411,0.9477763247163573,0.916833499792251,0.7041435024531668,0.5600497270690029,2,0.6066159426784805,0.007497669564162517,0.9446579243242961
847,0.9009217112715276,296,3,0.010118908054479759,0.8784556370616369,0.8146325106564013,0.7420607040313927,0.6029367744526669,2,0.129082817851153,0.007814437374660133,1.104147838117784
841,0.9054545980241278,777,3,0.007795341886743815,0.9265453423615293,0.9056926542406422,0.7418731069965849,0.5517250950568081,2,0.21918510051541168,0.010550347467028893,0.8758703905085277
843,0.9044269093355253,771,3,0.007759255253838314,0.9419858839887664,0.8995268257005308,0.7712791868237497,0.5547658316461693,2,4.449460629890055,0.007498337253978502,1.11640194385777
842,0.9051625981675272,779,3,0.007796789588896502,0.8796776922385238,0.9010806948629287,0.7374646446178089,0.6100628640817246,2,0.2319953064389791,0.00800530775291535,1.195454850747226
838,0.8905760800541292,780,10,0.0304571428238506,0.24753625196532908,0.9137868295661471,0.7051113188293716,0.5557067916877008,2,0.15985719676041898,0.006413872781227568,1.9566226620486367
849,0.8921851298872131,883,3,0.08295220147043167,0.8765758188992328,0.8968890091157138,0.6889616621681258,0.5276438954916046,2,0.8475863824032487,0.0015158047325986657,1.0666144584731858
846,0.9061473085930103,774,3,0.009960827703152857,0.9224994563925456,0.8951524005508561,0.7296784780202109,0.6107375990013123,2,0.14776500175177285,0.007354074491689845,1.156742005460508
845,0.9062219742344334,803,3,0.008043876718224378,0.9235927519765398,0.8991589592931646,0.7654653257956665,0.6117108232048991,2,0.15386793691489853,0.008095811180279973,1.0299075824630912
848,0.9048899253136818,801,3,0.006435761336224371,0.9727656423663588,0.9099438481211405,0.6924049592066039,0.5229667049758787,2,0.8266662171776529,0.0021749901428050012,1.1457946025654822
850,0.9038074425000306,704,3,0.006375817973607377,0.9781584618366596,0.9003828361750732,0.6893126336362593,0.5249307593457172,2,0.7165020991807372,0.006686935306472783,0.8872794206728093
852,0.9039675840088048,802,3,0.006556642612605543,0.9924506738492735,0.4824655314726603,0.6918177077856309,0.5271036270716156,2,0.7837562006557264,0.0030669446719414086,1.2458860524711322
851,0.9044417884001372,801,3,0.006446468454315776,0.9811691015303305,0.8977145267359318,0.6925444922480677,0.532785237252199,2,2.7835577117034025,0.01067246752433581,1.3750888547068776
854,0.9049476575925647,803,3,0.006477025872979564,0.8791206303654235,0.9461591328752064,0.6925711114894462,0.531764681935479,2,0.8707560278617573,0.00307902622434462,1.773101864440974
853,0.9054434486079487,884,3,0.0065613007968194515,0.9792190390828913,0.9514716845119683,0.6916740665995647,0.5343861357782839,2,0.9320657765110469,0.010753302568437546,1.488559788309477
855,0.9042785386862977,804,3,0.005921277795483128,0.97185492334868,0.9554153080918568,0.6899418412990146,0.5269046443261891,2,2.8348263103485176,0.003406905385747284,1.5062756199535396
856,0.9055797744304248,832,3,0.00647203519028422,0.9844863450873546,0.9515607169681276,0.6616487491978892,0.5279521811236055,2,0.762329860584928,0.0015133282106706096,1.2593470478812319
857,0.9039337862316307,742,3,0.006315018271534887,0.9246191226493072,0.9435078828928236,0.7220071645882002,0.5903818370936024,2,0.10639833044177553,0.0027553378673717236,1.5693612944858832
858,0.904051445187646,739,3,0.006178612181370848,0.9525222998106814,0.9247193294882439,0.7766142139008289,0.5948063706444917,2,0.22313956867640244,0.002839935754366213,1.6429105446898868
860,0.9038221484727103,727,3,0.005725389628986365,0.9667707844526868,0.9502797158877248,0.7586868232005548,0.5914074262639524,2,0.11196830381739376,0.0021619975407312004,1.1855056191183126
859,0.9043600262175364,797,3,0.006729266644427783,0.940739943699372,0.9453093220240262,0.7898511612045443,0.5915526244006551,2,0.1743443026027352,0.0026227225496522222,1.4332676441727896
861,0.9036238736025393,754,3,0.00581476473185636,0.9622506893809489,0.949515688944525,0.7652290299876708,0.59259955645564,2,0.16324530238558788,0.003992795227844388,1.5204717418810136
862,0.9042469064967262,762,3,0.006148870544618384,0.9622263873647467,0.9482345776386331,0.7558629905490283,0.5922585376411845,2,0.11671576618953475,0.004654975943212097,1.5849781148124744
863,0.9050566025062434,742,3,0.007237501414198159,0.9484995239246097,0.9553831304458547,0.7784300607263531,0.6108260096062789,2,0.10142153070184409,0.004651004582558405,0.9150801996471154
864,0.9048545833922723,731,3,0.0069527672904867825,0.930097423710249,0.9229124002190723,0.758224636735004,0.5951578536213824,2,0.13905965385763783,0.0018239192724011824,1.4714083987083837
873,0.8944176689857691,134,3,0.007063129219381864,0.9272210967182495,0.8662405074770798,0.7299368454657239,0.6095591475672666,2,0.31359919250802704,0.0063815355882465745,0.6267006906621623
865,0.9050680418533099,774,3,0.007065167850726987,0.955165528466483,0.868655554335177,0.7241707656128624,0.5918744454623882,2,0.10692027462868348,0.004604729767494574,1.6783739813172416
866,0.9050883919000821,756,3,0.007193185841517637,0.9419039645848102,0.9255984911265365,0.7265220021356588,0.5943944365143443,2,0.08116124492499478,0.002862775976788793,0.9592792698213267
